City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Alfred,ZA,78.98,clear sky,-33.5906,26.891,The Halyards Hotel
7,San Patricio,US,70.9,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
13,Rikitea,PF,80.08,light rain,-23.1203,-134.9692,People ThankYou
20,Arraial Do Cabo,BR,74.93,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
22,Benjamin Aceval,PY,71.74,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
25,Atuona,PF,78.1,light rain,-9.8,-139.0333,Villa Enata
27,Marawi,PH,70.74,overcast clouds,7.9986,124.2928,Derogongan Residence
28,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
29,Flinders,AU,69.08,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
30,Busselton,AU,74.05,clear sky,-33.65,115.3333,Observatory Guest House
31,Bathsheba,BB,75.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
32,Agadez,NE,81.66,broken clouds,19.75,10.25,
35,Bubaque,GW,74.97,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
36,Farafangana,MG,77.94,overcast clouds,-22.8167,47.8333,Miarina
40,Puerto Ayora,EC,74.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Itaituba,BR,72.79,overcast clouds,-4.2761,-55.9836,Hotel Campos
44,Pandan,PH,81.57,broken clouds,14.0453,124.1694,Bonifacio Lodge
48,Coruripe,BR,78.24,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
50,Manokwari,ID,80.01,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
57,Sao Filipe,CV,69.37,few clouds,14.8961,-24.4956,Hotel Xaguate
59,Hermanus,ZA,79.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
63,Port Shepstone,ZA,76.68,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
69,Vaini,TO,77.16,overcast clouds,-21.2,-175.2,Keleti Beach Resort
72,Hilo,US,72.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
77,Cockburn Town,TC,77.67,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
80,Airai,TL,66.31,overcast clouds,-8.9266,125.4092,
83,Kapaa,US,75.07,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
92,Hobart,AU,67.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
97,Bredasdorp,ZA,76.95,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
104,Conceicao Do Araguaia,BR,71.69,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
110,Puerto Leguizamo,CO,71.69,overcast clouds,-0.1934,-74.7819,la casona de juancho
111,Zabol,AF,65.61,clear sky,32.25,67.25,
116,Mackay,AU,78.78,scattered clouds,-21.15,149.2,International Lodge Motel
117,Amahai,ID,78.17,moderate rain,-3.3333,128.9167,HOTEL ISABELA
119,Alto Araguaia,BR,67.23,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
121,Tautira,PF,81.84,light rain,-17.7333,-149.15,Pension Oaoa
123,Ternate,ID,81.88,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
124,Ixtapa,MX,65.23,broken clouds,20.7,-105.2,hotel la terminal
126,Bensonville,LR,78.35,broken clouds,6.4461,-10.6125,Moinga
127,Igurubi,TZ,81.88,clear sky,-4.0,33.7,
135,Hualmay,PE,68.54,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
138,Faanui,PF,81.5,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Sungaipenuh,ID,78.48,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
144,Nabire,ID,79.68,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
146,Porto Velho,BR,73.45,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
147,Sembakung,ID,75.38,overcast clouds,3.8167,117.25,
150,Lagoa Santa,BR,70.77,scattered clouds,-19.6272,-43.8897,Hotel Lund
153,Wanaraja,ID,78.93,moderate rain,-7.1749,107.9808,Undang Beras
155,Tagusao,PH,77.07,moderate rain,9.1924,117.8141,Green Villa beach resort
158,Cradock,ZA,75.36,clear sky,-32.1642,25.6192,Die Hoekhuis
160,Cabo San Lucas,MX,68.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
162,Esperance,AU,66.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
165,Poum,NC,80.65,scattered clouds,-20.2333,164.0167,
168,Neiafu,TO,82.0,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
174,Butaritari,KI,81.54,broken clouds,3.0707,172.7902,Isles Sunset Lodge
175,Khash,IR,77.14,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
182,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
183,Touros,BR,77.85,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
184,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
188,Kiama,AU,70.0,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
190,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
191,Kruisfontein,ZA,79.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
201,Adelaide,AU,78.28,clear sky,-34.9333,138.6,The Chancellor on Currie
202,Puerto Escondido,MX,78.06,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
204,Poya,NC,76.96,overcast clouds,-21.35,165.15,
205,New Norfolk,AU,66.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
206,Itarema,BR,75.02,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
209,Vao,NC,78.82,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
216,Port Lincoln,AU,66.81,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
221,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
225,Carnaiba,BR,72.01,scattered clouds,-8.7,-37.6667,
230,Manaure,CO,76.55,overcast clouds,11.7751,-72.4445,Hotel Palaaima
238,Bloemfontein,ZA,67.48,few clouds,-29.1211,26.214,Protea Hotel by Marriott Bloemfontein
241,Paragominas,BR,69.71,overcast clouds,-2.9667,-47.4833,INOVA
244,Maragogi,BR,78.03,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
251,Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
256,Masvingo,ZW,74.52,few clouds,-20.0637,30.8277,River Side Lodge
261,Tessalit,ML,77.41,clear sky,20.1986,1.0114,
266,Vila Velha,BR,72.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
270,Borba,BR,72.1,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
274,Cape Canaveral,US,69.98,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
277,Parrita,CR,73.94,overcast clouds,9.5201,-84.3225,Beso del Viento
279,Acapetahua,MX,75.2,clear sky,15.2833,-92.7,Hotel Carmen
283,Montepuez,MZ,78.22,overcast clouds,-13.1256,38.9997,PembaAparthotel
286,Brufut,GM,68.54,broken clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
289,Cabo Rojo,PR,72.97,clear sky,18.0866,-67.1457,Hotel Perichi's
296,Buala,SB,80.8,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
298,Harper,LR,81.0,overcast clouds,4.375,-7.7169,Screensaver
306,Lago Da Pedra,BR,70.7,scattered clouds,-4.3333,-45.1667,
308,Cidreira,BR,68.07,overcast clouds,-30.1811,-50.2056,Hotel Castelo
309,Tocopilla,CL,66.56,overcast clouds,-22.092,-70.1979,Hotel Galvarino
315,Macae,BR,74.95,broken clouds,-22.3708,-41.7869,Golden Tulip Macaé
317,Souillac,MU,77.38,thunderstorm with rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
318,Petauke,ZM,70.74,overcast clouds,-14.2426,31.3253,Kwamwanja Wanthu
322,Garmsar,IR,69.12,broken clouds,35.2182,52.3409,آذین فوم
326,Nacala,MZ,81.72,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
330,Itoman,JP,74.17,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
336,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
340,Puerto Baquerizo Moreno,EC,77.54,moderate rain,-0.9,-89.6,Hotel los Algarrobos
347,Sampit,ID,81.93,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
353,Mount Gambier,AU,66.11,overcast clouds,-37.8333,140.7667,The Commodore
356,Binga,ZW,73.87,broken clouds,-17.6203,27.3414,Lakeview Inn Binga
357,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
361,San Vicente De Canete,PE,70.25,overcast clouds,-13.0751,-76.3835,Hotel Konford
365,Curuguaty,PY,70.83,clear sky,-24.4694,-55.6945,La Esquina del Tereré
373,Baffa,PK,81.79,clear sky,34.4378,73.2194,Kisan veternary store Baffa
374,El Cope,PA,65.68,broken clouds,8.6167,-80.6,Hostal Buena Esperanza
377,Iquique,CL,66.24,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
378,Sibiti,CG,75.83,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
384,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
394,Coffs Harbour,AU,73.36,clear sky,-30.3,153.1333,Aquajet Motel
395,Agua Dulce,MX,72.07,scattered clouds,18.1333,-94.1333,Hotel Victoria
403,Kigonsera,TZ,66.02,light rain,-10.8,35.05,
423,Nisia Floresta,BR,76.01,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
424,Amapa,BR,71.62,overcast clouds,1.0,-52.0,
435,Hirara,JP,73.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
437,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
438,Richards Bay,ZA,79.83,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
441,Ihosy,MG,75.83,clear sky,-22.4,46.1167,Hotely Sariaka
443,Schroeder,BR,68.76,overcast clouds,-26.4125,-49.0731,Schroeder Imóveis e Waldenir Hang Corretor de Imóveis
447,La Peca,PE,66.51,light rain,-5.6111,-78.435,Hospedaje San Miguelito
457,Jumla,NP,67.64,broken clouds,29.2747,82.1838,Royal Garden Hotel
463,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
464,Isangel,VU,80.51,light rain,-19.55,169.2667,Tanna Lodge
470,Araouane,ML,79.03,few clouds,18.9048,-3.5265,
471,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
472,Sitio Novo Do Tocantins,BR,75.13,scattered clouds,-5.5183,-47.4611,Imperial Hotel
475,Oistins,BB,75.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
479,Acajutla,SV,79.38,clear sky,13.5928,-89.8275,Laureles
482,Port Augusta,AU,75.61,clear sky,-32.5,137.7667,Majestic Oasis Apartments
484,Kokopo,PG,81.18,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
495,Namibe,AO,79.57,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
501,Adrar,MR,73.83,clear sky,20.5022,-10.0711,
506,Mungaa,TZ,74.37,scattered clouds,-4.9667,34.8833,
508,Dubbo,AU,75.33,few clouds,-32.25,148.6167,Quality Inn Dubbo International
515,Menongue,AO,71.51,moderate rain,-14.6585,17.691,Ritz Lauca
518,Shush,IR,80.11,overcast clouds,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
520,Hoopstad,ZA,74.66,light rain,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
523,San Matias,BO,70.83,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
533,Kahului,US,72.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
536,Luwingu,ZM,70.3,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
538,Eirunepe,BR,70.74,overcast clouds,-6.6603,-69.8736,Atrás de você
546,Moanda,GA,77.23,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
554,Djambala,CG,67.5,light rain,-2.5447,14.7533,Hotel Ravin D'or
556,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
562,Sawtell,AU,73.42,clear sky,-30.3833,153.1,The Bungalow Sawtell
563,Belmonte,BR,74.23,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
566,Alice,US,71.04,overcast clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
567,Agua Verde,MX,65.21,broken clouds,22.9,-106.05,
568,Kieta,PG,80.85,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
569,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
572,Savannah Bight,HN,80.2,clear sky,16.45,-85.85,Villa on Dunbar Rock
578,Naze,JP,67.12,scattered clouds,28.3667,129.4833,Shishime Hotel
579,Toucheng,TW,80.15,overcast clouds,24.8592,121.8233,和風時尚VILLA會館
580,Miri,MY,80.74,thunderstorm with light rain,4.4148,114.0089,"Mega Hotel, Miri"
581,Jutai,BR,71.67,overcast clouds,-5.1833,-68.9,
589,Tocache,PE,68.92,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
596,Santa Isabel Do Rio Negro,BR,72.25,overcast clouds,-0.4139,-65.0192,Hotel GSA
599,Paita,PE,72.48,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
601,La Asuncion,VE,74.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
611,Taoudenni,ML,78.13,clear sky,22.6783,-3.9836,
619,Angoram,PG,78.08,broken clouds,-4.0625,144.0661,
622,Nicoya,CR,75.94,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
628,Cairns,AU,80.55,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
629,Luwuk,ID,77.65,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
631,Jos,NG,74.5,broken clouds,9.9167,8.9,Silk Suites
632,Acarau,BR,75.69,overcast clouds,-2.8856,-40.12,castelo pizzaria
633,Byron Bay,AU,73.29,clear sky,-28.65,153.6167,Backpackers Inn
634,Gigmoto,PH,81.45,broken clouds,13.7796,124.39,Cj's Travellers Inn
635,Ligayan,PH,79.5,overcast clouds,4.6533,119.4706,
637,Sao Joao Da Barra,BR,71.83,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
641,Macau,MO,78.6,mist,22.2006,113.5461,Grand Emperor Hotel
642,Tsaratanana,MG,79.7,broken clouds,-16.7833,47.65,
646,Chanthaburi,TH,81.14,moderate rain,12.8333,102.1667,Home Valley Station Garden River.
650,Were Ilu,ET,65.53,overcast clouds,10.6,39.4333,
653,Tiguha,PH,77.07,overcast clouds,7.7044,123.2114,San Jose Multipurpose Building
659,Beira,MZ,77.43,few clouds,-19.8436,34.8389,Beira Terrace Hotel
661,Camopi,GF,71.28,overcast clouds,3.1655,-52.3158,La pousada
664,Thabazimbi,ZA,74.21,broken clouds,-24.5917,27.4116,Eagle's Rest
667,Mwinilunga,ZM,76.35,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
668,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
670,Malanje,AO,73.44,light rain,-9.5402,16.341,Hotel Ginga
677,Novo Aripuana,BR,72.64,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
678,Stawell,AU,72.54,broken clouds,-37.05,142.7667,Motel Stawell
681,Champerico,GT,78.51,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
